issue_title,issue_html_url,issue_pr_html_url,pr_title,bug_symptom_type,bug_symptom_detail,bug_root_cause_type,bug_root_cause_detail,repo,issue_create_date,issue_close_date,issue_duration_days,issue_comment_count,fix_change_loc,fix_change_file_count
[MCP Elicitation] Content validation should be done only for accept action,https://github.com/modelcontextprotocol/go-sdk/issues/758,https://github.com/modelcontextprotocol/go-sdk/pull/766,mcp: validation only for accept action,Execution Error,Data Validation Failure,Framework Implementation Defects,Data Processing & Validation Error,modelcontextprotocol/go-sdk,2026-01-21T04:20:45Z,2026-01-28T16:06:09Z,7.49,1,74,3
StreamableHTTP transport timeout issue.,https://github.com/modelcontextprotocol/go-sdk/issues/767,https://github.com/modelcontextprotocol/go-sdk/pull/769,mcp: update JSON marshaling to not HTML-escape messages,Execution Hang/Poor Performance,Connection Hang,Framework Implementation Defects,Data Processing & Validation Error,modelcontextprotocol/go-sdk,2026-01-28T07:39:38Z,2026-01-30T16:13:31Z,2.36,4,185,4
Client doesn't accept SSE events with empty data (SEP-1699),https://github.com/modelcontextprotocol/go-sdk/issues/768,https://github.com/modelcontextprotocol/go-sdk/pull/779,mcp: allow SSE messages with empty data (SEP-1699),Execution Error,Data Processing and Parsing Error,Protocol & Specification Violations,Communication Transport Layer Issue,modelcontextprotocol/go-sdk,2026-01-28T09:43:58Z,2026-02-05T14:36:55Z,8.2,1,60,3
Windows stdio incompatibility: MCP client cannot parse Python MCP server messages,https://github.com/modelcontextprotocol/go-sdk/issues/664,https://github.com/modelcontextprotocol/go-sdk/pull/665,fix: handle Windows CRLF in MCP client(#664),Negotiation Failure,MCP Protocol Error,Protocol & Specification Violations,Communication Transport Layer Issue,modelcontextprotocol/go-sdk,2025-11-27T03:48:41Z,2025-12-01T17:16:40Z,4.56,2,8,2
"Set a total retry limit on streams, or enforce progress",https://github.com/modelcontextprotocol/go-sdk/issues/679,https://github.com/modelcontextprotocol/go-sdk/pull/742,fix: enforce retry limit when SSE stream makes no progress,Connection Termination,Connection Termination,Framework Implementation Defects,Core Functionality Logic Error,modelcontextprotocol/go-sdk,2025-12-03T16:33:41Z,2026-02-03T09:17:34Z,61.7,6,127,2
SEP-1699: Don't send priming message if client protocol version is <2025-11-25,https://github.com/modelcontextprotocol/go-sdk/issues/686,https://github.com/modelcontextprotocol/go-sdk/pull/696,mcp: gate prime and close events on protocol version 2025-11-25,Negotiation Failure,MCP Protocol Error,Protocol & Specification Violations,MCP/JSON-RPC Protocol Violation,modelcontextprotocol/go-sdk,2025-12-04T17:20:03Z,2025-12-08T20:24:43Z,4.13,0,159,3
How to check client capabilities and handle unsupported capability errors?,https://github.com/modelcontextprotocol/go-sdk/issues/607,https://github.com/modelcontextprotocol/go-sdk/pull/698,mcp: fix broken client root capabilities,Negotiation Failure,MCP Protocol Error,Protocol & Specification Violations,MCP/JSON-RPC Protocol Violation,modelcontextprotocol/go-sdk,2025-10-27T21:15:36Z,2025-12-11T15:16:58Z,44.75,2,345,10
`StreamableClient` tries to JSON-decode ping message,https://github.com/modelcontextprotocol/go-sdk/issues/636,https://github.com/modelcontextprotocol/go-sdk/pull/637,Fix: Skip non-message SSE events in processStream,Execution Error,Data Processing and Parsing Error,Protocol & Specification Violations,Communication Transport Layer Issue,modelcontextprotocol/go-sdk,2025-11-13T11:11:08Z,2025-11-14T01:48:24Z,0.61,1,156,2
Use call context when reconnecting,https://github.com/modelcontextprotocol/go-sdk/issues/662,https://github.com/modelcontextprotocol/go-sdk/pull/677,mcp: better handling for streamable context cancellation,Connection Termination,Connection Termination,Framework Implementation Defects,Core Functionality Logic Error,modelcontextprotocol/go-sdk,2025-11-26T22:45:51Z,2025-12-03T17:26:52Z,6.78,0,352,5
Establishing standalone SSE stream should be synchronous with streamable client connection,https://github.com/modelcontextprotocol/go-sdk/issues/583,https://github.com/modelcontextprotocol/go-sdk/pull/604,mcp: establish the streamable client standalone SSE stream in Connect,Negotiation Failure,Transport Layer Error,Performance & Resource Defects,Concurrency/Asynchronous Issue,modelcontextprotocol/go-sdk,2025-10-15T16:21:32Z,2025-10-27T18:03:23Z,12.07,0,277,3
MCP go-sdk implementation Gap-1: provide APIs to bind event storage with user identifiers,https://github.com/modelcontextprotocol/go-sdk/issues/571,https://github.com/modelcontextprotocol/go-sdk/pull/697,internal/docs: document UserID for session hijacking prevention,Unexpected Side Effects,Unauthorized Access,Documentation & Usability Defects,Outdated or Erroneous Documentation,modelcontextprotocol/go-sdk,2025-10-11T20:37:55Z,2025-12-08T20:25:36Z,57.99,10,30,2
Replace body for second call and OAuth flow,https://github.com/modelcontextprotocol/go-sdk/issues/590,https://github.com/modelcontextprotocol/go-sdk/pull/597,auth: clone the client request body before roundtripping,Negotiation Failure,Authentication Failure,Framework Implementation Defects,Core Functionality Logic Error,modelcontextprotocol/go-sdk,2025-10-17T15:00:41Z,2025-10-23T13:29:54Z,5.94,0,84,2
Using `mcp.StdioTransport{}` breaks code coverage reporting during tests,https://github.com/modelcontextprotocol/go-sdk/issues/548,https://github.com/modelcontextprotocol/go-sdk/pull/562,mcp: don't close stdout when shutting down the stdio transport,Unexpected Side Effects,User Extensibility Issue,Framework Implementation Defects,Core Functionality Logic Error,modelcontextprotocol/go-sdk,2025-10-01T08:55:40Z,2025-10-07T15:08:40Z,6.26,2,12,1
Streamable HTTP: don't allocate resources for failed connections,https://github.com/modelcontextprotocol/go-sdk/issues/578,https://github.com/modelcontextprotocol/go-sdk/pull/605,mcp: don't persist failed streamable sessions,Execution Hang/Poor Performance,Server Component Interaction Hang,Performance & Resource Defects,Low-Performance Implementation,modelcontextprotocol/go-sdk,2025-10-13T16:41:45Z,2025-10-27T20:29:18Z,14.16,0,120,4
Proposal: Add StreamableHTTPOptions.SessionTimeout (Ungraceful client disconnects leads to zombie sessions),https://github.com/modelcontextprotocol/go-sdk/issues/499,https://github.com/modelcontextprotocol/go-sdk/pull/594,mcp: add StreamableHTTPOptions.SessionTimeout,Execution Hang/Poor Performance,Concurrency-Related Hang,Performance & Resource Defects,Concurrency/Asynchronous Issue,modelcontextprotocol/go-sdk,2025-09-19T09:06:52Z,2025-10-23T13:17:22Z,34.17,6,353,5
Streamable HTTP: no way to disable support for event replay,https://github.com/modelcontextprotocol/go-sdk/issues/576,https://github.com/modelcontextprotocol/go-sdk/pull/585,mcp: allow disabling stream replay; disable by default,Execution Hang/Poor Performance,Connection Hang,Framework Implementation Defects,Core Functionality Logic Error,modelcontextprotocol/go-sdk,2025-10-13T16:31:29Z,2025-10-16T16:11:51Z,2.99,1,727,5
Input validation doesn't catch missing fields,https://github.com/modelcontextprotocol/go-sdk/issues/449,https://github.com/modelcontextprotocol/go-sdk/pull/454,"mcp: propertly validate against JSON, independent of Go values",Execution Error,Data Validation Failure,Framework Implementation Defects,Data Processing & Validation Error,modelcontextprotocol/go-sdk,2025-09-10T22:24:25Z,2025-09-12T14:50:21Z,1.68,3,372,12
GetProtectedResourceMetadataFromHeader validation always fails due to mismatched resource identifiers,https://github.com/modelcontextprotocol/go-sdk/issues/560,https://github.com/modelcontextprotocol/go-sdk/pull/561,internal/oauthex: fix GetProtectedResourceMetadataFromHeader validation,Execution Error,Data Validation Failure,Authentication & Authorization Defects,OAuth/JWT Protocol Violation,modelcontextprotocol/go-sdk,2025-10-07T02:25:25Z,2025-10-08T13:30:52Z,1.46,1,75,2
